,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,interest_rate,is_renter,state_grouped,log_transformed_annual_income,log_transformed_debit_to_income,months_since_last_delinq,inquiries_last_12m,months_since_90d_late,accounts_opened_24m,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,interest_rate,square_months_since_last_delinq,never_late_payment,delinq_risk_category,log_total_debit_limit,log_num_active_debit_accounts,has_bankruptcy,loan_purpose,application_type,loan_amount,installment,interest_rate
10,10.0,IL,MORTGAGE,75000.0,Verified,10.45,15.04,0,IL,11.225256725762893,2.4379897300002487,50.0,4,129.0,6,2,5000,2,94.1,1,15.04,2500.0,1,Moderate Risk,8.517393171418904,1.0986122886681098,1,debt_consolidation,individual,25000,595.28,15.04
11,2.0,FL,MORTGAGE,91900.0,Source Verified,1.82,9.92,0,FL,11.428467189677395,1.0367368849500223,119.0,4,129.0,7,2,9000,3,92.0,0,9.92,14161.0,1,Moderate Risk,9.105090961257085,1.0986122886681098,0,other,individual,40000,848.31,9.92
12,5.0,SC,MORTGAGE,122000.0,Source Verified,12.06,13.59,0,other,11.711784520403112,2.569554123848285,37.0,8,37.0,11,3,12100,3,84.4,0,13.59,1369.0,0,Moderate Risk,9.401043372798053,1.3862943611198906,0,debt_consolidation,individual,16000,543.67,13.59
13,10.0,CO,MORTGAGE,88000.0,Source Verified,3.67,9.43,0,other,11.385103457032141,1.541159071680806,44.0,6,129.0,7,4,70800,3,98.4,0,9.43,1936.0,1,Low Risk,11.167628403875849,1.6094379124341003,0,credit_card,individual,17000,356.46,9.43
14,6.0,FL,MORTGAGE,17000.0,Verified,33.98,19.03,0,FL,9.741027444837728,3.554776469590456,6.0,0,6.0,4,2,3600,1,90.9,1,19.03,36.0,0,Moderate Risk,8.188966863648876,1.0986122886681098,1,debt_consolidation,individual,3000,110.02,19.03
15,10.0,TN,MORTGAGE,60000.0,Not Verified,38.46,19.03,0,other,11.002116507732017,3.6752875005944694,119.0,0,129.0,1,3,39700,2,100.0,0,19.03,14161.0,1,Perfect,10.589131655274922,1.3862943611198906,0,credit_card,individual,20000,519.15,19.03
16,6.0,NV,MORTGAGE,60000.0,Not Verified,31.22,19.03,0,other,11.002116507732017,3.472587377748828,77.0,4,129.0,8,2,15800,2,95.2,0,19.03,5929.0,1,Low Risk,9.6678285081515,1.0986122886681098,0,credit_card,individual,12000,311.49,19.03
17,3.0,NV,RENT,72000.0,Source Verified,20.33,28.72,1,other,11.184435286790631,3.0601145324832593,37.0,6,37.0,3,1,2500,0,91.7,0,28.72,1369.0,0,Moderate Risk,7.824445930877619,0.6931471805599453,0,debt_consolidation,individual,30000,947.15,28.72
18,10.0,IL,MORTGAGE,210000.0,Verified,9.53,26.77,0,IL,12.25486757159303,2.354228326145884,119.0,2,129.0,6,2,17500,5,100.0,0,26.77,14161.0,1,Perfect,9.770013301136158,1.0986122886681098,0,other,individual,5000,203.51,26.77
19,1.0,CA,MORTGAGE,83000.0,Source Verified,18.44,15.05,0,CA,11.326607934898927,2.967332799032293,14.0,1,22.0,1,3,8300,2,63.6,0,15.05,196.0,0,High Risk,9.024131268455035,1.3862943611198906,0,debt_consolidation,individual,20000,476.33,15.05
20,10.0,KY,MORTGAGE,50000.0,Not Verified,15.6,6.08,0,other,10.819798284210286,2.8094026953624978,119.0,0,129.0,4,2,18800,1,100.0,0,6.08,14161.0,1,Perfect,9.841665338892785,1.0986122886681098,0,credit_card,individual,7000,213.21,6.08
21,1.0,NV,MORTGAGE,42000.0,Source Verified,32.0,11.98,0,other,10.645448706505872,3.4965075614664802,119.0,4,129.0,5,3,10100,1,100.0,1,11.98,14161.0,1,Perfect,9.220389707829185,1.3862943611198906,1,credit_card,joint,10000,332.05,11.98
22,5.0,NJ,MORTGAGE,100000.0,Not Verified,26.53,13.59,0,NJ,11.51293546492023,3.315276319154516,119.0,1,129.0,10,3,26200,6,100.0,0,13.59,14161.0,1,Perfect,10.173552856959743,1.3862943611198906,0,debt_consolidation,individual,21050,485.34,13.59
23,6.0,TX,MORTGAGE,40280.0,Verified,7.27,6.71,0,TX,10.603635172740818,2.1126345090356,119.0,1,129.0,0,1,7500,1,90.0,0,6.71,14161.0,1,Moderate Risk,8.922791623969637,0.6931471805599453,0,home_improvement,individual,3500,107.61,6.71
24,10.0,VA,RENT,82000.0,Not Verified,17.31,7.96,1,other,11.314486721293981,2.907447358686419,67.0,1,67.0,3,2,11500,2,88.0,0,7.96,4489.0,0,Moderate Risk,9.350189267092581,1.0986122886681098,0,credit_card,individual,8000,250.55,7.96
25,7.0,PA,MORTGAGE,55000.0,Source Verified,14.42,12.61,0,other,10.915106645867503,2.7356653681351832,119.0,0,129.0,3,7,22100,1,100.0,0,12.61,14161.0,1,Perfect,10.003378135350923,2.0794415416798357,0,debt_consolidation,individual,18000,405.98,12.61
26,1.0,NY,RENT,55000.0,Source Verified,13.68,11.98,1,NY,10.915106645867503,2.6864860231863696,44.0,7,44.0,11,3,17700,0,100.0,0,11.98,1936.0,0,Perfect,9.781376414141157,1.3862943611198906,0,credit_card,individual,10000,332.05,11.98
27,5.0,IL,RENT,33000.0,Not Verified,19.38,7.34,1,IL,10.404293143019792,3.0145540277945786,119.0,0,129.0,2,3,17600,0,100.0,0,7.34,14161.0,1,Perfect,9.77571099759397,1.3862943611198906,0,debt_consolidation,individual,3200,99.31,7.34
28,3.0,GA,RENT,60000.0,Not Verified,11.0,5.32,1,GA,11.002116507732017,2.4849066497880004,70.0,0,70.0,5,2,36400,1,92.3,0,5.32,4900.0,0,Moderate Risk,10.502351525774941,1.0986122886681098,0,debt_consolidation,individual,10000,301.15,5.32
29,4.0,MO,MORTGAGE,48000.0,Source Verified,2.88,6.07,0,other,10.778977123006351,1.355835153635182,119.0,2,129.0,3,1,25000,2,100.0,0,6.07,14161.0,1,Perfect,10.12667110305036,0.6931471805599453,0,other,individual,6000,182.73,6.07
30,4.0,CA,MORTGAGE,106000.0,Verified,26.25,12.62,0,CA,11.571203807011969,3.305053521109253,119.0,2,129.0,4,8,62120,4,100.0,0,12.62,14161.0,1,Perfect,11.036839375008135,2.1972245773362196,0,debt_consolidation,individual,12000,402.14,12.62
31,3.0,TX,MORTGAGE,245000.0,Source Verified,24.9,9.44,0,TX,12.409017571151187,3.254242968705492,68.0,1,68.0,4,2,74100,1,100.0,0,9.44,4624.0,0,Perfect,11.21318430646977,1.0986122886681098,0,debt_consolidation,individual,40000,838.91,9.44
32,9.0,AR,MORTGAGE,50000.0,Verified,36.75,19.03,0,other,10.819798284210286,3.6309854756950335,3.0,0,129.0,3,8,71100,2,90.3,0,19.03,9.0,1,Moderate Risk,11.171856680390034,2.1972245773362196,0,credit_card,joint,19000,493.19,19.03
33,3.0,SC,MORTGAGE,80000.0,Source Verified,28.3,20.39,0,other,11.289794413577894,3.3775875160230218,35.0,0,129.0,4,3,23800,4,96.3,0,20.39,1225.0,1,Low Risk,10.077482875583607,1.3862943611198906,0,debt_consolidation,individual,28000,747.92,20.39
34,10.0,CA,MORTGAGE,140000.0,Not Verified,13.82,9.93,0,CA,11.849404844423074,2.695977619867941,119.0,2,129.0,5,1,58100,2,100.0,0,9.93,14161.0,1,Perfect,10.969938154395841,0.6931471805599453,0,debt_consolidation,individual,15000,318.19,9.93
35,1.0,MD,OWN,70000.0,Source Verified,0.0,6.08,0,other,11.156264806643742,0.0,31.0,0,129.0,0,0,0,0,92.3,0,6.08,961.0,1,Moderate Risk,0.0,0.0,0,other,individual,2400,73.1,6.08
36,2.0,MD,RENT,45000.0,Source Verified,10.59,21.45,1,other,10.714439990727769,2.4501426573516603,119.0,1,129.0,0,4,11300,0,100.0,0,21.45,14161.0,1,Perfect,9.332646496360152,1.6094379124341003,0,debt_consolidation,individual,10000,379.07,21.45
37,10.0,NJ,MORTGAGE,70000.0,Verified,17.06,15.04,0,NJ,11.156264806643742,2.8936995479888394,102.0,2,102.0,4,3,12900,2,95.2,0,15.04,10404.0,0,Low Risk,9.465060106725137,1.3862943611198906,0,other,joint,24000,571.47,15.04
38,2.0,PA,RENT,75000.0,Not Verified,18.53,10.42,1,other,11.225256725762893,2.9719517448885875,119.0,2,129.0,3,1,19600,0,100.0,0,10.42,14161.0,1,Perfect,9.883335864325275,0.6931471805599453,0,other,individual,9500,308.42,10.42
39,2.0,CA,RENT,53592.0,Source Verified,7.1,12.61,1,CA,10.889173741515435,2.0918640616783932,119.0,0,129.0,1,1,18800,1,100.0,0,12.61,14161.0,1,Perfect,9.841665338892785,0.6931471805599453,0,other,individual,30000,1005.2,12.61
40,6.0,MI,MORTGAGE,19000.0,Not Verified,24.79,18.06,0,other,9.852246888342531,3.2499868198932536,119.0,0,129.0,2,2,3000,1,100.0,1,18.06,14161.0,1,Perfect,8.006700845440367,1.0986122886681098,1,other,joint,10000,254.27,18.06
41,5.0,MD,RENT,90000.0,Source Verified,15.72,11.99,1,other,11.407576060361786,2.8166056076565553,119.0,8,129.0,4,2,23900,3,100.0,0,11.99,14161.0,1,Perfect,10.081675578048475,1.0986122886681098,0,other,individual,15000,333.6,11.99
42,10.0,VA,RENT,77000.0,Source Verified,14.82,15.05,1,other,11.251573687764477,2.761274962339508,80.0,0,80.0,5,3,27700,3,96.6,0,15.05,6400.0,0,Low Risk,10.229223792606835,1.3862943611198906,0,debt_consolidation,individual,35000,833.57,15.05
43,2.0,TX,RENT,42000.0,Source Verified,25.89,15.05,1,TX,10.645448706505872,3.2917544702807735,119.0,1,129.0,4,2,8300,0,100.0,0,15.05,14161.0,1,Perfect,9.024131268455035,1.0986122886681098,0,credit_card,individual,10000,346.9,15.05
44,4.0,TX,MORTGAGE,130000.0,Source Verified,13.51,12.62,0,TX,11.775297421715827,2.6748380668960965,119.0,2,129.0,9,2,34300,2,100.0,0,12.62,14161.0,1,Perfect,10.442929787247998,1.0986122886681098,0,home_improvement,individual,40000,902.37,12.62
45,10.0,NC,OWN,76300.0,Not Verified,10.71,6.72,0,other,11.242441323346558,2.460443177609626,68.0,4,68.0,7,2,16800,3,96.7,1,6.72,4624.0,0,Low Risk,9.729193687429403,1.0986122886681098,1,debt_consolidation,individual,15000,461.24,6.72
46,2.0,FL,MORTGAGE,190000.0,Not Verified,2.68,6.71,0,FL,12.154784614286667,1.3029127521808397,119.0,0,129.0,4,4,78300,1,100.0,0,6.71,14161.0,1,Perfect,11.268315653289422,1.6094379124341003,0,debt_consolidation,individual,20000,614.9,6.71
47,0.0,TX,RENT,41000.0,Verified,25.7,15.05,1,TX,10.62135173563291,3.2846635654062037,119.0,0,129.0,1,5,10300,2,100.0,0,15.05,14161.0,1,Perfect,9.239996256883693,1.791759469228055,0,debt_consolidation,individual,4500,156.11,15.05
48,2.0,NE,RENT,30000.0,Not Verified,3.64,9.93,1,other,10.308985993422082,1.534714366238164,119.0,0,129.0,1,2,17000,0,100.0,0,9.93,14161.0,1,Perfect,9.741027444837728,1.0986122886681098,0,other,individual,16000,339.41,9.93
49,6.0,NC,MORTGAGE,88000.0,Source Verified,17.24,10.42,0,other,11.385103457032141,2.9036169846461855,61.0,2,129.0,5,3,32000,2,97.4,0,10.42,3721.0,1,Low Risk,10.373522431293592,1.3862943611198906,0,credit_card,individual,10000,324.65,10.42
50,2.0,TX,MORTGAGE,115000.0,Verified,18.72,22.91,0,TX,11.652696102959753,2.9816333491744893,26.0,6,42.0,11,8,40150,2,76.0,0,22.91,676.0,0,High Risk,10.600402625664993,2.1972245773362196,0,debt_consolidation,individual,20000,562.78,22.91
51,10.0,TX,RENT,95731.0,Not Verified,19.64,30.79,1,TX,11.469307899814504,3.027230940613362,119.0,1,129.0,10,2,33700,0,100.0,0,30.79,14161.0,1,Perfect,10.425282789490705,1.0986122886681098,0,debt_consolidation,individual,20600,676.52,30.79
52,2.0,CA,RENT,127000.0,Source Verified,9.12,15.05,1,CA,11.751950239425476,2.3145136638593193,7.0,0,129.0,2,3,32300,0,100.0,0,15.05,49.0,1,Perfect,10.382853468483827,1.3862943611198906,0,major_purchase,individual,35000,833.57,15.05
53,10.0,GA,MORTGAGE,75000.0,Source Verified,22.91,6.07,0,GA,11.225256725762893,3.1742967814702334,119.0,0,129.0,1,1,23000,3,100.0,0,6.07,14161.0,1,Perfect,10.043292972227004,0.6931471805599453,0,debt_consolidation,joint,10000,304.54,6.07
54,5.0,NC,MORTGAGE,70000.0,Not Verified,21.41,6.07,0,other,11.156264806643742,3.1095072878128356,119.0,1,129.0,4,1,14800,3,100.0,0,6.07,14161.0,1,Perfect,9.60245002503719,0.6931471805599453,0,debt_consolidation,individual,12000,365.45,6.07
55,6.0,FL,OWN,22000.0,Source Verified,13.05,17.47,0,FL,9.99884318585288,2.642622395779755,49.0,0,49.0,0,1,2300,1,80.0,0,17.47,2401.0,0,High Risk,7.741099090035366,0.6931471805599453,0,debt_consolidation,joint,1925,69.09,17.47
56,8.0,NJ,MORTGAGE,75000.0,Verified,20.16,7.34,0,NJ,11.225256725762893,3.052112606990099,119.0,4,129.0,9,6,49600,1,100.0,0,7.34,14161.0,1,Perfect,10.811766273800105,1.9459101490553132,0,other,individual,15000,465.5,7.34
57,10.0,NV,MORTGAGE,73000.0,Verified,39.08,13.59,0,other,11.19822841866684,3.6908774567766094,119.0,8,129.0,9,8,40600,1,100.0,1,13.59,14161.0,1,Perfect,10.611547975828369,2.1972245773362196,1,debt_consolidation,individual,20000,679.58,13.59
58,6.0,NV,MORTGAGE,76000.0,Not Verified,14.62,6.72,0,other,11.23850177707664,2.7485521444115397,119.0,2,129.0,9,5,56300,2,100.0,0,6.72,14161.0,1,Perfect,10.938467575959383,1.791759469228055,0,debt_consolidation,individual,6000,184.5,6.72
59,10.0,CO,RENT,188000.0,Not Verified,11.64,5.31,1,other,12.144202560946876,2.5368663887187113,119.0,1,129.0,10,15,28500,0,100.0,0,5.31,14161.0,1,Perfect,10.25769445336048,2.772588722239781,0,debt_consolidation,individual,10000,301.11,5.31
60,8.0,WV,MORTGAGE,50000.0,Verified,12.15,9.93,0,other,10.819798284210286,2.5764217586237734,80.0,8,129.0,3,4,25600,2,96.2,1,9.93,6400.0,1,Low Risk,10.150386692204734,1.6094379124341003,1,debt_consolidation,individual,25000,805.86,9.93
61,10.0,MD,OWN,58000.0,Source Verified,12.58,9.92,0,other,10.968215530759236,2.60859812213055,43.0,0,43.0,3,4,17000,2,86.4,0,9.92,1849.0,0,Moderate Risk,9.741027444837728,1.6094379124341003,0,debt_consolidation,individual,10000,322.3,9.92
62,1.0,VA,RENT,105000.0,Not Verified,16.73,9.93,1,other,11.561725152903833,2.8752581200861167,119.0,0,129.0,0,4,51100,0,100.0,0,9.93,14161.0,1,Perfect,10.841559345471941,1.6094379124341003,0,debt_consolidation,individual,6000,193.41,9.93
63,10.0,VA,MORTGAGE,114000.0,Verified,28.13,14.07,0,other,11.643962499267984,3.3717685709713434,15.0,1,15.0,8,2,33000,5,96.4,0,14.07,225.0,0,Low Risk,10.404293143019792,1.0986122886681098,0,credit_card,individual,20000,466.1,14.07
64,10.0,CA,MORTGAGE,150000.0,Source Verified,7.89,7.97,0,CA,11.918397239722838,2.1849270495258133,119.0,1,129.0,6,4,54000,0,100.0,0,7.97,14161.0,1,Perfect,10.896757843893464,1.6094379124341003,0,other,individual,15000,469.84,7.97
65,0.0,PA,MORTGAGE,69000.0,Not Verified,15.42,5.31,0,other,11.141876276228,2.7985001040242823,75.0,0,129.0,3,2,57700,2,94.3,0,5.31,5625.0,1,Moderate Risk,10.96302978336854,1.0986122886681098,0,debt_consolidation,individual,20000,602.21,5.31
66,10.0,FL,MORTGAGE,30000.0,Not Verified,32.4,9.93,0,FL,10.308985993422082,3.5085558999826545,27.0,1,38.0,4,5,16850,0,93.0,0,9.93,729.0,0,Moderate Risk,9.732165281200542,1.791759469228055,0,debt_consolidation,individual,10500,222.74,9.93
67,5.0,IL,MORTGAGE,60000.0,Source Verified,17.28,14.08,0,IL,11.002116507732017,2.905807566026004,119.0,2,129.0,8,6,12300,1,100.0,1,14.08,14161.0,1,Perfect,9.417435838868785,1.9459101490553132,1,credit_card,individual,11400,265.74,14.08
68,5.0,NH,MORTGAGE,74000.0,Not Verified,32.06,12.61,0,other,11.211833885608513,3.498324092392878,119.0,0,129.0,1,5,66400,3,100.0,0,12.61,14161.0,1,Perfect,11.103467395592086,1.791759469228055,0,other,individual,5500,184.29,12.61
69,0.0,UT,RENT,25000.0,Source Verified,3.7,12.62,1,other,10.12667110305036,1.547562508716013,14.0,1,129.0,2,2,1200,0,66.7,0,12.62,196.0,1,High Risk,7.0909098220799835,1.0986122886681098,0,debt_consolidation,individual,5000,167.56,12.62
70,6.0,DE,OWN,32000.0,Source Verified,22.09,17.47,0,other,10.373522431293592,3.139399623366404,34.0,6,34.0,7,2,2500,3,76.9,0,17.47,1156.0,0,High Risk,7.824445930877619,1.0986122886681098,0,other,individual,9600,344.52,17.47
71,0.0,MA,RENT,31000.0,Source Verified,16.26,12.62,1,other,10.34177474101152,2.848391685655282,56.0,2,60.0,11,8,22000,0,100.0,0,12.62,3136.0,0,Perfect,9.99884318585288,2.1972245773362196,0,other,individual,15000,502.67,12.62
72,3.0,NJ,RENT,64000.0,Source Verified,8.72,6.71,1,NJ,11.06665398721974,2.2741856184723477,119.0,0,129.0,1,2,25000,0,100.0,0,6.71,14161.0,1,Perfect,10.12667110305036,1.0986122886681098,0,debt_consolidation,individual,10000,307.45,6.71
73,3.0,KY,RENT,24000.0,Source Verified,16.3,19.42,1,other,10.085850775128717,2.8507065015037334,119.0,1,129.0,3,1,10000,0,100.0,0,19.42,14161.0,1,Perfect,9.210440366976517,0.6931471805599453,0,major_purchase,individual,10450,273.5,19.42
74,2.0,NC,MORTGAGE,77000.0,Source Verified,16.04,12.62,0,other,11.251573687764477,2.8355635214011694,119.0,3,129.0,8,2,14800,1,100.0,0,12.62,14161.0,1,Perfect,9.60245002503719,1.0986122886681098,0,credit_card,individual,7200,241.29,12.62
75,10.0,FL,MORTGAGE,31000.0,Not Verified,28.42,14.08,0,FL,10.34177474101152,3.3816747151732915,119.0,0,129.0,0,4,20300,4,100.0,0,14.08,14161.0,1,Perfect,9.918425424900335,1.6094379124341003,0,debt_consolidation,joint,35000,815.85,14.08
76,6.0,OR,RENT,13930.0,Verified,21.94,10.91,1,other,9.541871851706224,3.1328821117012247,119.0,1,129.0,6,3,2700,0,100.0,0,10.91,14161.0,1,Perfect,7.901377353792616,1.3862943611198906,0,debt_consolidation,individual,4200,137.33,10.91
77,0.0,OH,RENT,60000.0,Verified,19.22,17.47,1,OH,11.002116507732017,3.006672213592325,119.0,3,129.0,2,3,10600,0,100.0,0,17.47,14161.0,1,Perfect,9.268703615273097,1.3862943611198906,0,other,individual,2400,86.13,17.47
78,9.0,TX,MORTGAGE,41787.0,Verified,37.74,18.06,0,TX,10.640364495957398,3.65687265797885,119.0,1,129.0,7,8,22300,1,100.0,0,18.06,14161.0,1,Perfect,10.012386799492118,2.1972245773362196,0,credit_card,individual,12800,463.14,18.06
79,4.0,CA,MORTGAGE,45000.0,Verified,15.44,16.02,0,CA,10.714439990727769,2.7997173896280336,119.0,2,129.0,13,5,20700,2,100.0,1,16.02,14161.0,1,Perfect,9.937937287265354,1.791759469228055,1,other,joint,8000,281.34,16.02
80,0.0,OK,MORTGAGE,77000.0,Verified,18.39,19.03,0,other,11.251573687764477,2.9647574692545606,37.0,3,129.0,4,2,12400,1,90.0,0,19.03,1369.0,1,Moderate Risk,9.425532393502772,1.0986122886681098,0,debt_consolidation,individual,30000,1100.14,19.03
81,1.0,PA,MORTGAGE,72000.0,Source Verified,27.23,12.62,0,other,11.184435286790631,3.340385242265398,36.0,7,129.0,8,2,7900,1,95.2,1,12.62,1296.0,1,Low Risk,8.974744612722734,1.0986122886681098,1,debt_consolidation,individual,7000,234.58,12.62
82,8.0,TX,MORTGAGE,165000.0,Source Verified,11.14,6.07,0,TX,12.013706813470414,2.4965057856313524,119.0,2,129.0,5,3,43500,2,100.0,0,6.07,14161.0,1,Perfect,10.680539205318292,1.3862943611198906,0,other,individual,25000,761.35,6.07
83,10.0,FL,MORTGAGE,43000.0,Source Verified,1.56,9.43,0,FL,10.668978650219241,0.9400072584914712,119.0,3,129.0,8,3,35600,2,100.0,0,9.43,14161.0,1,Perfect,10.480129006333248,1.3862943611198906,0,home_improvement,individual,40000,838.71,9.43
84,10.0,VA,MORTGAGE,90000.0,Verified,17.44,10.42,0,other,11.407576060361786,2.914522218128448,119.0,1,129.0,3,3,63500,4,100.0,0,10.42,14161.0,1,Perfect,11.05881093278828,1.3862943611198906,0,debt_consolidation,individual,24000,514.91,10.42
85,10.0,SD,OWN,95000.0,Not Verified,11.45,7.96,0,other,11.461642696843066,2.5217206229107165,119.0,2,129.0,6,5,29600,0,100.0,1,7.96,14161.0,1,Perfect,10.295563423525277,1.791759469228055,1,debt_consolidation,individual,5000,156.59,7.96
87,2.0,IL,MORTGAGE,49500.0,Source Verified,34.86,15.04,0,IL,10.809748150372926,3.5796224681769866,119.0,1,129.0,8,3,26700,1,100.0,0,15.04,14161.0,1,Perfect,10.192456296870509,1.3862943611198906,0,credit_card,individual,15000,357.17,15.04
88,5.0,TX,OWN,32000.0,Source Verified,13.77,12.61,0,TX,10.373522431293592,2.6925980965432883,36.0,1,36.0,9,3,11800,0,76.2,0,12.61,1296.0,0,High Risk,9.375939552625749,1.3862943611198906,0,home_improvement,individual,5000,167.54,12.61
89,8.0,FL,RENT,78000.0,Source Verified,9.61,7.96,1,FL,11.264476926102367,2.3617969526258915,58.0,3,58.0,3,5,11900,1,68.4,1,7.96,3364.0,0,High Risk,9.38437770918244,1.791759469228055,1,credit_card,individual,7000,219.23,7.96
90,2.0,AZ,RENT,52000.0,Source Verified,24.39,13.58,1,other,10.859018228147887,3.234355395716587,119.0,4,129.0,3,1,24500,1,100.0,0,13.58,14161.0,1,Perfect,10.106469212026385,0.6931471805599453,0,debt_consolidation,individual,17450,402.25,13.58
91,10.0,NY,MORTGAGE,147000.0,Source Verified,5.16,16.01,0,NY,11.898194668458823,1.8180767775454285,56.0,6,129.0,6,5,20500,1,81.8,0,16.01,3136.0,1,Moderate Risk,9.928228944424575,1.791759469228055,0,debt_consolidation,individual,30000,729.71,16.01
92,10.0,NJ,OWN,140000.0,Verified,28.53,22.91,0,NJ,11.849404844423074,3.3854066957558313,119.0,1,129.0,5,7,77500,3,100.0,0,22.91,14161.0,1,Perfect,11.258046118484,2.0794415416798357,0,debt_consolidation,individual,15000,579.95,22.91
93,5.0,IL,RENT,50000.0,Not Verified,20.74,7.97,1,IL,10.819798284210286,3.0791538816930633,119.0,8,129.0,7,9,60000,1,100.0,0,7.97,14161.0,1,Perfect,11.002116507732017,2.302585092994046,0,debt_consolidation,individual,20000,626.46,7.97
94,6.0,MN,RENT,55000.0,Not Verified,12.22,18.06,1,other,10.915106645867503,2.5817308344235403,19.0,3,19.0,4,4,7600,0,85.7,1,18.06,361.0,0,Moderate Risk,8.936035096566041,1.6094379124341003,1,debt_consolidation,individual,15000,381.4,18.06
95,3.0,TX,MORTGAGE,190000.0,Not Verified,15.84,6.08,0,TX,12.154784614286667,2.8237570088141806,119.0,0,129.0,5,3,62000,2,100.0,0,6.08,14161.0,1,Perfect,11.034905792929415,1.3862943611198906,0,debt_consolidation,individual,12000,365.5,6.08
96,10.0,CO,RENT,126000.0,Source Verified,3.82,5.32,1,other,11.744045122410057,1.572773928062509,119.0,0,129.0,0,1,27200,0,100.0,0,5.32,14161.0,1,Perfect,10.211009016314167,0.6931471805599453,0,debt_consolidation,individual,16500,496.9,5.32
97,10.0,MA,MORTGAGE,95000.0,Not Verified,15.48,5.32,0,other,11.461642696843066,2.8021475244813256,119.0,2,129.0,9,6,39100,1,100.0,1,5.32,14161.0,1,Perfect,10.573903321093981,1.9459101490553132,1,debt_consolidation,individual,19200,578.21,5.32
98,10.0,NJ,MORTGAGE,80000.0,Source Verified,14.16,9.93,0,NJ,11.289794413577894,2.7186603802142257,119.0,2,129.0,3,6,32500,2,100.0,0,9.93,14161.0,1,Perfect,10.389026137075234,1.9459101490553132,0,major_purchase,individual,7050,227.26,9.93
99,10.0,MN,MORTGAGE,23000.0,Verified,49.58,20.0,0,other,10.043292972227004,3.923556241241819,59.0,2,59.0,3,7,14700,2,96.0,1,20.0,3481.0,0,Low Risk,9.595670797663967,2.0794415416798357,1,credit_card,joint,15000,397.41,20.0
