,months_since_last_delinq,inquiries_last_12m,months_since_90d_late,accounts_opened_24m,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,interest_rate,square_months_since_last_delinq,never_late_payment,delinq_risk_category,log_total_debit_limit,log_num_active_debit_accounts,has_bankruptcy
19,14.0,1,22.0,1,3,8300,2,63.6,0,15.05,196.0,0,High Risk,9.024131268455035,1.3862943611198906,0
20,119.0,0,129.0,4,2,18800,1,100.0,0,6.08,14161.0,1,Perfect,9.841665338892785,1.0986122886681098,0
21,119.0,4,129.0,5,3,10100,1,100.0,1,11.98,14161.0,1,Perfect,9.220389707829185,1.3862943611198906,1
22,119.0,1,129.0,10,3,26200,6,100.0,0,13.59,14161.0,1,Perfect,10.173552856959743,1.3862943611198906,0
23,119.0,1,129.0,0,1,7500,1,90.0,0,6.71,14161.0,1,Moderate Risk,8.922791623969637,0.6931471805599453,0
24,67.0,1,67.0,3,2,11500,2,88.0,0,7.96,4489.0,0,Moderate Risk,9.350189267092581,1.0986122886681098,0
25,119.0,0,129.0,3,7,22100,1,100.0,0,12.61,14161.0,1,Perfect,10.003378135350923,2.0794415416798357,0
26,44.0,7,44.0,11,3,17700,0,100.0,0,11.98,1936.0,0,Perfect,9.781376414141157,1.3862943611198906,0
27,119.0,0,129.0,2,3,17600,0,100.0,0,7.34,14161.0,1,Perfect,9.77571099759397,1.3862943611198906,0
28,70.0,0,70.0,5,2,36400,1,92.3,0,5.32,4900.0,0,Moderate Risk,10.502351525774941,1.0986122886681098,0
29,119.0,2,129.0,3,1,25000,2,100.0,0,6.07,14161.0,1,Perfect,10.12667110305036,0.6931471805599453,0
30,119.0,2,129.0,4,8,62120,4,100.0,0,12.62,14161.0,1,Perfect,11.036839375008135,2.1972245773362196,0
31,68.0,1,68.0,4,2,74100,1,100.0,0,9.44,4624.0,0,Perfect,11.21318430646977,1.0986122886681098,0
32,3.0,0,129.0,3,8,71100,2,90.3,0,19.03,9.0,1,Moderate Risk,11.171856680390034,2.1972245773362196,0
33,35.0,0,129.0,4,3,23800,4,96.3,0,20.39,1225.0,1,Low Risk,10.077482875583607,1.3862943611198906,0
34,119.0,2,129.0,5,1,58100,2,100.0,0,9.93,14161.0,1,Perfect,10.969938154395841,0.6931471805599453,0
35,31.0,0,129.0,0,0,0,0,92.3,0,6.08,961.0,1,Moderate Risk,0.0,0.0,0
36,119.0,1,129.0,0,4,11300,0,100.0,0,21.45,14161.0,1,Perfect,9.332646496360152,1.6094379124341003,0
37,102.0,2,102.0,4,3,12900,2,95.2,0,15.04,10404.0,0,Low Risk,9.465060106725137,1.3862943611198906,0
38,119.0,2,129.0,3,1,19600,0,100.0,0,10.42,14161.0,1,Perfect,9.883335864325275,0.6931471805599453,0
39,119.0,0,129.0,1,1,18800,1,100.0,0,12.61,14161.0,1,Perfect,9.841665338892785,0.6931471805599453,0
40,119.0,0,129.0,2,2,3000,1,100.0,1,18.06,14161.0,1,Perfect,8.006700845440367,1.0986122886681098,1
41,119.0,8,129.0,4,2,23900,3,100.0,0,11.99,14161.0,1,Perfect,10.081675578048475,1.0986122886681098,0
42,80.0,0,80.0,5,3,27700,3,96.6,0,15.05,6400.0,0,Low Risk,10.229223792606835,1.3862943611198906,0
43,119.0,1,129.0,4,2,8300,0,100.0,0,15.05,14161.0,1,Perfect,9.024131268455035,1.0986122886681098,0
44,119.0,2,129.0,9,2,34300,2,100.0,0,12.62,14161.0,1,Perfect,10.442929787247998,1.0986122886681098,0
45,68.0,4,68.0,7,2,16800,3,96.7,1,6.72,4624.0,0,Low Risk,9.729193687429403,1.0986122886681098,1
46,119.0,0,129.0,4,4,78300,1,100.0,0,6.71,14161.0,1,Perfect,11.268315653289422,1.6094379124341003,0
47,119.0,0,129.0,1,5,10300,2,100.0,0,15.05,14161.0,1,Perfect,9.239996256883693,1.791759469228055,0
48,119.0,0,129.0,1,2,17000,0,100.0,0,9.93,14161.0,1,Perfect,9.741027444837728,1.0986122886681098,0
49,61.0,2,129.0,5,3,32000,2,97.4,0,10.42,3721.0,1,Low Risk,10.373522431293592,1.3862943611198906,0
50,26.0,6,42.0,11,8,40150,2,76.0,0,22.91,676.0,0,High Risk,10.600402625664993,2.1972245773362196,0
51,119.0,1,129.0,10,2,33700,0,100.0,0,30.79,14161.0,1,Perfect,10.425282789490705,1.0986122886681098,0
52,7.0,0,129.0,2,3,32300,0,100.0,0,15.05,49.0,1,Perfect,10.382853468483827,1.3862943611198906,0
53,119.0,0,129.0,1,1,23000,3,100.0,0,6.07,14161.0,1,Perfect,10.043292972227004,0.6931471805599453,0
54,119.0,1,129.0,4,1,14800,3,100.0,0,6.07,14161.0,1,Perfect,9.60245002503719,0.6931471805599453,0
55,49.0,0,49.0,0,1,2300,1,80.0,0,17.47,2401.0,0,High Risk,7.741099090035366,0.6931471805599453,0
56,119.0,4,129.0,9,6,49600,1,100.0,0,7.34,14161.0,1,Perfect,10.811766273800105,1.9459101490553132,0
57,119.0,8,129.0,9,8,40600,1,100.0,1,13.59,14161.0,1,Perfect,10.611547975828369,2.1972245773362196,1
58,119.0,2,129.0,9,5,56300,2,100.0,0,6.72,14161.0,1,Perfect,10.938467575959383,1.791759469228055,0
59,119.0,1,129.0,10,15,28500,0,100.0,0,5.31,14161.0,1,Perfect,10.25769445336048,2.772588722239781,0
60,80.0,8,129.0,3,4,25600,2,96.2,1,9.93,6400.0,1,Low Risk,10.150386692204734,1.6094379124341003,1
61,43.0,0,43.0,3,4,17000,2,86.4,0,9.92,1849.0,0,Moderate Risk,9.741027444837728,1.6094379124341003,0
62,119.0,0,129.0,0,4,51100,0,100.0,0,9.93,14161.0,1,Perfect,10.841559345471941,1.6094379124341003,0
63,15.0,1,15.0,8,2,33000,5,96.4,0,14.07,225.0,0,Low Risk,10.404293143019792,1.0986122886681098,0
64,119.0,1,129.0,6,4,54000,0,100.0,0,7.97,14161.0,1,Perfect,10.896757843893464,1.6094379124341003,0
65,75.0,0,129.0,3,2,57700,2,94.3,0,5.31,5625.0,1,Moderate Risk,10.96302978336854,1.0986122886681098,0
66,27.0,1,38.0,4,5,16850,0,93.0,0,9.93,729.0,0,Moderate Risk,9.732165281200542,1.791759469228055,0
67,119.0,2,129.0,8,6,12300,1,100.0,1,14.08,14161.0,1,Perfect,9.417435838868785,1.9459101490553132,1
68,119.0,0,129.0,1,5,66400,3,100.0,0,12.61,14161.0,1,Perfect,11.103467395592086,1.791759469228055,0
69,14.0,1,129.0,2,2,1200,0,66.7,0,12.62,196.0,1,High Risk,7.0909098220799835,1.0986122886681098,0
70,34.0,6,34.0,7,2,2500,3,76.9,0,17.47,1156.0,0,High Risk,7.824445930877619,1.0986122886681098,0
71,56.0,2,60.0,11,8,22000,0,100.0,0,12.62,3136.0,0,Perfect,9.99884318585288,2.1972245773362196,0
72,119.0,0,129.0,1,2,25000,0,100.0,0,6.71,14161.0,1,Perfect,10.12667110305036,1.0986122886681098,0
73,119.0,1,129.0,3,1,10000,0,100.0,0,19.42,14161.0,1,Perfect,9.210440366976517,0.6931471805599453,0
74,119.0,3,129.0,8,2,14800,1,100.0,0,12.62,14161.0,1,Perfect,9.60245002503719,1.0986122886681098,0
75,119.0,0,129.0,0,4,20300,4,100.0,0,14.08,14161.0,1,Perfect,9.918425424900335,1.6094379124341003,0
76,119.0,1,129.0,6,3,2700,0,100.0,0,10.91,14161.0,1,Perfect,7.901377353792616,1.3862943611198906,0
77,119.0,3,129.0,2,3,10600,0,100.0,0,17.47,14161.0,1,Perfect,9.268703615273097,1.3862943611198906,0
78,119.0,1,129.0,7,8,22300,1,100.0,0,18.06,14161.0,1,Perfect,10.012386799492118,2.1972245773362196,0
79,119.0,2,129.0,13,5,20700,2,100.0,1,16.02,14161.0,1,Perfect,9.937937287265354,1.791759469228055,1
80,37.0,3,129.0,4,2,12400,1,90.0,0,19.03,1369.0,1,Moderate Risk,9.425532393502772,1.0986122886681098,0
81,36.0,7,129.0,8,2,7900,1,95.2,1,12.62,1296.0,1,Low Risk,8.974744612722734,1.0986122886681098,1
82,119.0,2,129.0,5,3,43500,2,100.0,0,6.07,14161.0,1,Perfect,10.680539205318292,1.3862943611198906,0
83,119.0,3,129.0,8,3,35600,2,100.0,0,9.43,14161.0,1,Perfect,10.480129006333248,1.3862943611198906,0
84,119.0,1,129.0,3,3,63500,4,100.0,0,10.42,14161.0,1,Perfect,11.05881093278828,1.3862943611198906,0
85,119.0,2,129.0,6,5,29600,0,100.0,1,7.96,14161.0,1,Perfect,10.295563423525277,1.791759469228055,1
86,48.0,5,129.0,9,4,170900,4,97.7,0,13.59,2304.0,1,Low Risk,12.048839720461636,1.6094379124341003,0
87,119.0,1,129.0,8,3,26700,1,100.0,0,15.04,14161.0,1,Perfect,10.192456296870509,1.3862943611198906,0
88,36.0,1,36.0,9,3,11800,0,76.2,0,12.61,1296.0,0,High Risk,9.375939552625749,1.3862943611198906,0
89,58.0,3,58.0,3,5,11900,1,68.4,1,7.96,3364.0,0,High Risk,9.38437770918244,1.791759469228055,1
90,119.0,4,129.0,3,1,24500,1,100.0,0,13.58,14161.0,1,Perfect,10.106469212026385,0.6931471805599453,0
91,56.0,6,129.0,6,5,20500,1,81.8,0,16.01,3136.0,1,Moderate Risk,9.928228944424575,1.791759469228055,0
92,119.0,1,129.0,5,7,77500,3,100.0,0,22.91,14161.0,1,Perfect,11.258046118484,2.0794415416798357,0
93,119.0,8,129.0,7,9,60000,1,100.0,0,7.97,14161.0,1,Perfect,11.002116507732017,2.302585092994046,0
94,19.0,3,19.0,4,4,7600,0,85.7,1,18.06,361.0,0,Moderate Risk,8.936035096566041,1.6094379124341003,1
95,119.0,0,129.0,5,3,62000,2,100.0,0,6.08,14161.0,1,Perfect,11.034905792929415,1.3862943611198906,0
96,119.0,0,129.0,0,1,27200,0,100.0,0,5.32,14161.0,1,Perfect,10.211009016314167,0.6931471805599453,0
97,119.0,2,129.0,9,6,39100,1,100.0,1,5.32,14161.0,1,Perfect,10.573903321093981,1.9459101490553132,1
98,119.0,2,129.0,3,6,32500,2,100.0,0,9.93,14161.0,1,Perfect,10.389026137075234,1.9459101490553132,0
99,59.0,2,59.0,3,7,14700,2,96.0,1,20.0,3481.0,0,Low Risk,9.595670797663967,2.0794415416798357,1
100,50.0,0,129.0,2,3,20800,1,81.8,0,15.05,2500.0,1,Moderate Risk,9.942756341456828,1.3862943611198906,0
101,119.0,13,129.0,7,6,15600,1,100.0,0,7.96,14161.0,1,Perfect,9.65509029374725,1.9459101490553132,0
102,5.0,2,5.0,8,4,20000,2,95.1,0,26.77,25.0,0,Low Risk,9.90353755128617,1.6094379124341003,0
103,119.0,6,129.0,7,4,16600,3,100.0,1,9.44,14161.0,1,Perfect,9.717218213494077,1.6094379124341003,1
104,58.0,9,58.0,3,1,3000,3,87.8,0,13.59,3364.0,0,Moderate Risk,8.006700845440367,0.6931471805599453,0
105,119.0,0,129.0,0,5,7900,0,100.0,0,15.04,14161.0,1,Perfect,8.974744612722734,1.791759469228055,0
106,119.0,2,129.0,7,4,46900,3,100.0,0,5.31,14161.0,1,Perfect,10.75579427616868,1.6094379124341003,0
107,119.0,8,129.0,7,2,9500,0,100.0,0,14.08,14161.0,1,Perfect,9.15915233520675,1.0986122886681098,0
108,119.0,2,129.0,2,1,600,0,100.0,0,13.59,14161.0,1,Perfect,6.398594934535208,0.6931471805599453,0
109,119.0,0,129.0,5,3,8300,0,100.0,0,7.97,14161.0,1,Perfect,9.024131268455035,1.3862943611198906,0
110,119.0,2,129.0,7,1,36600,0,100.0,0,9.93,14161.0,1,Perfect,10.50783084142058,0.6931471805599453,0
111,62.0,0,62.0,3,3,22300,4,93.3,0,6.08,3844.0,0,Moderate Risk,10.012386799492118,1.3862943611198906,0
112,119.0,0,129.0,1,6,48400,0,100.0,0,21.85,14161.0,1,Perfect,10.78727575364831,1.9459101490553132,0
113,14.0,2,58.0,8,1,2100,0,83.3,0,10.42,196.0,0,Moderate Risk,7.650168700845001,0.6931471805599453,0
114,15.0,0,129.0,0,3,34900,0,50.0,0,17.47,225.0,1,High Risk,10.460270761075149,1.3862943611198906,0
115,75.0,0,129.0,3,5,20200,0,100.0,0,10.9,5625.0,1,Perfect,9.913487387114461,1.791759469228055,0
116,119.0,0,129.0,4,3,26400,5,100.0,0,6.08,14161.0,1,Perfect,10.181157167204903,1.3862943611198906,0
117,22.0,1,22.0,5,1,11500,0,95.7,0,12.61,484.0,0,Low Risk,9.350189267092581,0.6931471805599453,0
118,47.0,2,47.0,5,3,14300,2,85.0,0,23.87,2209.0,0,Moderate Risk,9.568084743872936,1.3862943611198906,0
119,119.0,2,129.0,10,5,30600,2,100.0,0,18.06,14161.0,1,Perfect,10.328787967145063,1.791759469228055,0
120,119.0,0,129.0,8,3,28500,6,100.0,0,13.59,14161.0,1,Perfect,10.25769445336048,1.3862943611198906,0
121,78.0,3,129.0,9,2,2300,0,100.0,1,16.02,6084.0,1,Perfect,7.741099090035366,1.0986122886681098,1
122,119.0,2,129.0,11,1,24500,2,100.0,0,9.93,14161.0,1,Perfect,10.106469212026385,0.6931471805599453,0
123,119.0,2,129.0,4,2,13800,0,100.0,0,9.92,14161.0,1,Perfect,9.53249633228804,1.0986122886681098,0
124,119.0,1,129.0,1,2,5800,0,100.0,0,7.35,14161.0,1,Perfect,8.665785595466064,1.0986122886681098,0
125,38.0,2,38.0,6,3,38500,3,72.2,0,10.91,1444.0,0,High Risk,10.55843949396453,1.3862943611198906,0
126,119.0,1,129.0,4,2,12300,1,100.0,0,13.59,14161.0,1,Perfect,9.417435838868785,1.0986122886681098,0
127,119.0,0,129.0,3,3,11000,0,100.0,1,14.07,14161.0,1,Perfect,9.305741456739435,1.3862943611198906,1
128,19.0,6,23.0,1,3,12700,2,90.9,0,7.34,361.0,0,Moderate Risk,9.44943600950432,1.3862943611198906,0
129,119.0,1,129.0,7,6,45200,4,100.0,0,15.05,14161.0,1,Perfect,10.718874489469398,1.9459101490553132,0
130,38.0,0,47.0,4,4,11000,3,72.4,0,6.72,1444.0,0,High Risk,9.305741456739435,1.6094379124341003,0
131,119.0,1,129.0,7,3,37800,3,100.0,0,16.01,14161.0,1,Perfect,10.540090836284206,1.3862943611198906,0
132,35.0,0,129.0,2,5,46500,0,95.2,0,7.34,1225.0,1,Low Risk,10.747229096720554,1.791759469228055,0
133,119.0,4,129.0,4,1,4500,0,100.0,1,23.88,14161.0,1,Perfect,8.412054873292933,0.6931471805599453,1
134,119.0,1,129.0,2,1,22000,0,100.0,0,15.05,14161.0,1,Perfect,9.99884318585288,0.6931471805599453,0
135,119.0,0,129.0,2,1,12600,0,100.0,0,6.72,14161.0,1,Perfect,9.441531454869693,0.6931471805599453,0
136,119.0,3,129.0,9,6,42200,0,100.0,0,21.45,14161.0,1,Perfect,10.650199196425806,1.9459101490553132,0
137,119.0,1,129.0,10,2,11800,1,100.0,1,25.82,14161.0,1,Perfect,9.375939552625749,1.0986122886681098,1
138,10.0,2,49.0,0,4,51200,0,85.2,0,14.08,100.0,0,Moderate Risk,10.843514342086866,1.6094379124341003,0
139,119.0,1,129.0,7,4,20300,1,100.0,1,15.05,14161.0,1,Perfect,9.918425424900335,1.6094379124341003,1
140,119.0,0,129.0,5,4,31900,0,100.0,0,9.44,14161.0,1,Perfect,10.370392636243981,1.6094379124341003,0
141,53.0,2,53.0,4,3,3700,0,58.8,0,17.09,2809.0,0,High Risk,8.216358332386156,1.3862943611198906,0
142,119.0,1,129.0,3,3,6300,0,100.0,0,16.01,14161.0,1,Perfect,8.748463629942055,1.3862943611198906,0
143,119.0,2,129.0,4,1,15400,2,100.0,1,10.9,14161.0,1,Perfect,9.642187721358466,0.6931471805599453,1
144,49.0,2,49.0,2,3,26000,0,89.5,0,12.62,2401.0,0,Moderate Risk,10.165890277802454,1.3862943611198906,0
145,119.0,2,129.0,1,2,6000,0,100.0,0,21.45,14161.0,1,Perfect,8.699681400989514,1.0986122886681098,0
146,119.0,3,129.0,3,1,4300,1,100.0,0,10.41,14161.0,1,Perfect,8.366602832783736,0.6931471805599453,0
147,24.0,0,24.0,4,4,46100,3,95.0,0,5.32,576.0,0,Moderate Risk,10.738589920723442,1.6094379124341003,0
148,39.0,2,39.0,7,1,17300,2,95.0,1,21.85,1521.0,0,Moderate Risk,9.758519582283522,0.6931471805599453,1
149,119.0,3,129.0,3,8,27300,1,100.0,1,18.06,14161.0,1,Perfect,10.214678610538817,2.1972245773362196,1
150,119.0,2,129.0,6,1,39900,3,100.0,0,5.32,14161.0,1,Perfect,10.594156665220533,0.6931471805599453,0
151,24.0,3,129.0,5,2,25700,0,97.1,0,17.09,576.0,1,Low Risk,10.154285180632154,1.0986122886681098,0
152,119.0,1,129.0,2,4,20700,2,100.0,0,9.93,14161.0,1,Perfect,9.937937287265354,1.6094379124341003,0
153,119.0,1,129.0,2,1,15300,0,100.0,0,6.08,14161.0,1,Perfect,9.635673464721814,0.6931471805599453,0
154,18.0,10,129.0,4,4,6200,0,86.7,0,17.09,324.0,1,Moderate Risk,8.732465848349879,1.6094379124341003,0
155,62.0,2,129.0,6,1,13000,0,81.8,0,16.01,3844.0,1,Moderate Risk,9.472781556562168,0.6931471805599453,0
156,119.0,0,129.0,0,3,22300,0,100.0,1,13.59,14161.0,1,Perfect,10.012386799492118,1.3862943611198906,1
157,119.0,2,129.0,3,2,29300,1,100.0,0,9.92,14161.0,1,Perfect,10.285376924115587,1.0986122886681098,0
158,26.0,2,26.0,2,0,0,1,64.5,0,15.04,676.0,0,High Risk,0.0,0.0,0
159,45.0,3,45.0,9,3,25100,7,92.9,0,6.71,2025.0,0,Moderate Risk,10.130662964963708,1.3862943611198906,0
160,119.0,0,129.0,1,2,800,0,100.0,0,17.47,14161.0,1,Perfect,6.68586094706836,1.0986122886681098,0
161,77.0,2,129.0,4,3,17400,0,95.7,1,11.99,5929.0,1,Low Risk,9.76428295481558,1.3862943611198906,1
162,12.0,1,66.0,1,5,16100,0,68.4,0,13.59,144.0,0,High Risk,9.686636660844938,1.791759469228055,0
163,119.0,9,129.0,8,5,60500,1,100.0,0,7.35,14161.0,1,Perfect,11.010415172807951,1.791759469228055,0
164,32.0,4,42.0,6,3,35100,1,70.6,0,10.42,1024.0,0,High Risk,10.465984899076615,1.3862943611198906,0
165,25.0,0,51.0,1,2,25500,2,84.6,0,7.97,625.0,0,Moderate Risk,10.146472946063877,1.0986122886681098,0
166,29.0,1,129.0,1,4,59500,3,92.6,0,9.92,841.0,1,Moderate Risk,10.993748398115178,1.6094379124341003,0
167,119.0,0,129.0,3,4,50400,1,100.0,0,12.61,14161.0,1,Perfect,10.827766295132466,1.6094379124341003,0
168,119.0,1,129.0,9,5,34600,1,100.0,0,9.93,14161.0,1,Perfect,10.451637862362272,1.791759469228055,0
169,119.0,1,129.0,0,3,16500,3,100.0,0,14.07,14161.0,1,Perfect,9.711176264112805,1.3862943611198906,0
170,32.0,0,32.0,4,2,6000,0,75.0,0,14.08,1024.0,0,High Risk,8.699681400989514,1.0986122886681098,0
171,45.0,2,129.0,6,1,36000,3,92.1,0,12.62,2025.0,1,Moderate Risk,10.491301994830229,0.6931471805599453,0
172,119.0,3,129.0,18,29,180850,0,100.0,0,16.02,14161.0,1,Perfect,12.105428766809247,3.4011973816621555,0
173,119.0,7,129.0,7,4,26800,3,92.3,0,14.07,14161.0,1,Moderate Risk,10.196194479235656,1.6094379124341003,0
174,119.0,2,129.0,4,2,3000,2,100.0,0,18.06,14161.0,1,Perfect,8.006700845440367,1.0986122886681098,0
175,75.0,1,129.0,5,3,26200,0,94.7,0,14.08,5625.0,1,Moderate Risk,10.173552856959743,1.3862943611198906,0
176,70.0,0,70.0,1,5,22200,1,100.0,0,16.02,4900.0,0,Perfect,10.007892611890918,1.791759469228055,0
177,119.0,0,129.0,3,1,7000,3,100.0,0,11.99,14161.0,1,Perfect,8.853808274977197,0.6931471805599453,0
178,119.0,0,129.0,4,9,70400,1,100.0,0,6.72,14161.0,1,Perfect,11.161962746590705,2.302585092994046,0
179,119.0,9,129.0,3,2,7100,0,100.0,1,19.03,14161.0,1,Perfect,8.867990898182093,1.0986122886681098,1
180,119.0,0,129.0,3,2,37800,0,100.0,0,6.71,14161.0,1,Perfect,10.540090836284206,1.0986122886681098,0
181,119.0,0,129.0,2,3,24400,0,100.0,0,6.07,14161.0,1,Perfect,10.102379394048045,1.3862943611198906,0
182,55.0,0,55.0,8,2,12000,1,85.0,0,7.35,3025.0,0,Moderate Risk,9.392745258631441,1.0986122886681098,0
183,119.0,1,129.0,8,6,19100,0,100.0,1,13.59,14161.0,1,Perfect,9.857495968685136,1.9459101490553132,1
184,119.0,1,129.0,3,2,18900,0,100.0,0,13.59,14161.0,1,Perfect,9.846970109700957,1.0986122886681098,0
185,119.0,0,129.0,1,3,27500,2,100.0,0,5.31,14161.0,1,Perfect,10.221977646629885,1.3862943611198906,0
186,58.0,2,58.0,4,1,3000,1,100.0,0,7.97,3364.0,0,Perfect,8.006700845440367,0.6931471805599453,0
187,119.0,3,129.0,10,2,18800,4,100.0,1,7.35,14161.0,1,Perfect,9.841665338892785,1.0986122886681098,1
188,119.0,2,129.0,4,3,7600,0,100.0,1,11.99,14161.0,1,Perfect,8.936035096566041,1.3862943611198906,1
189,34.0,3,34.0,9,7,29500,0,95.0,0,16.02,1156.0,0,Moderate Risk,10.292179440058462,2.0794415416798357,0
190,119.0,0,129.0,1,2,14100,0,100.0,1,9.93,14161.0,1,Perfect,9.55400099583723,1.0986122886681098,1
191,63.0,5,129.0,11,6,26500,0,95.7,0,19.42,3969.0,1,Low Risk,10.184937747111391,1.9459101490553132,0
192,119.0,0,129.0,6,9,44700,2,100.0,0,7.96,14161.0,1,Perfect,10.707751151716078,2.302585092994046,0
193,81.0,0,129.0,0,1,17000,2,92.3,0,13.59,6561.0,1,Moderate Risk,9.741027444837728,0.6931471805599453,0
194,119.0,7,129.0,5,2,8000,0,100.0,1,12.61,14161.0,1,Perfect,8.987321812850125,1.0986122886681098,1
195,5.0,5,129.0,5,1,7500,4,82.1,0,19.03,25.0,1,Moderate Risk,8.922791623969637,0.6931471805599453,0
196,119.0,6,129.0,15,10,26700,0,100.0,0,16.01,14161.0,1,Perfect,10.192456296870509,2.3978952727983707,0
197,119.0,0,129.0,0,2,15000,0,100.0,0,6.72,14161.0,1,Perfect,9.61587214452889,1.0986122886681098,0
198,119.0,1,129.0,6,2,37200,2,100.0,1,6.07,14161.0,1,Perfect,10.524090921620362,1.0986122886681098,1
199,19.0,0,19.0,3,4,8300,2,76.5,0,15.05,361.0,0,High Risk,9.024131268455035,1.6094379124341003,0
200,119.0,0,129.0,2,3,23800,0,100.0,0,6.07,14161.0,1,Perfect,10.077482875583607,1.3862943611198906,0
201,119.0,2,129.0,10,11,57200,3,100.0,0,13.58,14161.0,1,Perfect,10.954326659732555,2.4849066497880004,0
202,119.0,1,129.0,1,1,6500,0,100.0,0,10.42,14161.0,1,Perfect,8.77971129020447,0.6931471805599453,0
203,18.0,0,129.0,2,3,4800,0,87.5,0,11.98,324.0,1,Moderate Risk,8.476579508530941,1.3862943611198906,0
204,16.0,0,73.0,5,1,29100,0,91.3,0,9.43,256.0,0,Moderate Risk,10.278527816830314,0.6931471805599453,0
205,119.0,3,129.0,12,11,25400,0,100.0,0,16.02,14161.0,1,Perfect,10.142543822310387,2.4849066497880004,0
206,119.0,0,129.0,3,1,2000,0,100.0,0,18.06,14161.0,1,Perfect,7.601402334583733,0.6931471805599453,0
207,119.0,1,129.0,6,2,78500,0,100.0,0,12.61,14161.0,1,Perfect,11.270866642542865,1.0986122886681098,0
208,119.0,1,129.0,8,7,35900,1,100.0,0,14.07,14161.0,1,Perfect,10.488520429241627,2.0794415416798357,0
209,29.0,4,64.0,3,4,49300,1,89.5,0,10.42,841.0,0,Moderate Risk,10.805699643800724,1.6094379124341003,0
210,21.0,2,21.0,4,1,4000,3,84.6,1,10.42,441.0,0,Moderate Risk,8.294299608857235,0.6931471805599453,1
211,119.0,1,129.0,4,3,24900,1,100.0,1,17.47,14161.0,1,Perfect,10.122663242288953,1.3862943611198906,1
212,119.0,1,129.0,2,1,8000,0,100.0,0,10.91,14161.0,1,Perfect,8.987321812850125,0.6931471805599453,0
213,119.0,0,129.0,3,3,49100,2,100.0,0,5.32,14161.0,1,Perfect,10.801634680173994,1.3862943611198906,0
214,56.0,3,76.0,5,2,18200,3,74.1,0,9.44,3136.0,0,High Risk,9.809231816610408,1.0986122886681098,0
215,7.0,1,129.0,2,4,26800,6,95.5,0,9.44,49.0,1,Low Risk,10.196194479235656,1.6094379124341003,0
216,33.0,0,129.0,0,3,16200,0,93.3,0,14.08,1089.0,1,Moderate Risk,9.692828247710418,1.3862943611198906,0
217,25.0,1,129.0,3,4,18200,0,95.7,1,7.35,625.0,1,Low Risk,9.809231816610408,1.6094379124341003,1
218,119.0,1,129.0,3,3,56200,0,100.0,0,12.62,14161.0,1,Perfect,10.936689829317784,1.3862943611198906,0
